Ensembl,CON-25-1,CON-25-2,CON-25-3,CDDP-25-1,CDDP-25-2,CDDP-25-3,CDDP-50-1,CDDP-50-2,CDDP-50-3,symbol
ENSG00000160972,530.0766444,608.6295764,532.9333448,430.9566489,431.7940285,424.8983834,625.2248694,498.2835475,544.1957985,PPP1R16A
ENSG00000255182,48.76705129,57.16410386,60.46898768,47.8840721,43.17940285,23.25314536,33.06477675,33.5383157,65.81719097,AC084125.2
ENSG00000167701,69.2633482,96.6745874,87.07534226,101.5142329,88.1579475,137.4049499,205.9033825,252.3358991,260.0581692,GPT
ENSG00000167700,747.761453,737.24881,668.3838772,660.800195,646.7914719,729.3031955,1367.679402,1017.328909,1117.286949,MFSD3
ENSG00000160957,1938.666981,2160.466866,1880.18239,958.6391235,965.239568,1587.555652,1958.33655,1502.835956,1656.666856,RECQL4
ENSG00000160959,697.580864,650.6620057,674.0276494,614.8314858,633.2979085,583.4425564,592.1600927,555.777803,638.9083416,LRRC14
ENSG00000213563,792.99466,798.6161568,653.8713201,594.7201755,579.323655,522.1388095,774.0163648,581.3308054,621.2500709,C8orf82
ENSG00000147799,371.0536511,395.1048355,349.9138754,45.01102778,50.37597,35.9366792,94.68549705,151.720952,158.9244367,ARHGAP39
ENSG00000198169,254.4367893,261.4417103,276.544837,344.7653192,326.5442341,441.8097619,426.8362089,384.8920992,460.7203368,ZNF251
ENSG00000196378,101.0679469,80.70226427,104.0066588,81.40292258,92.65580196,101.4682707,91.67960826,124.5708869,147.6873554,ZNF34
ENSG00000161016,33183.50471,32914.75474,34322.19741,33486.2893,33313.80887,47513.5747,73528.54877,68662.51461,73130.92566,RPL8
ENSG00000197363,211.3238889,201.7556607,234.6196722,462.5601365,436.291883,435.467995,321.6301011,356.1449715,364.4024964,ZNF517
ENSG00000147789,460.8132962,418.6429959,403.9328377,927.0356359,853.6927773,1008.34094,1056.569912,1129.123295,1024.179703,ZNF7
ENSG00000170619,552.6932479,590.1353075,563.5709652,769.018198,790.7228148,745.1576128,979.9197473,769.7841984,738.4367768,COMMD5
ENSG00000196150,284.8278503,269.0075476,260.4197736,215.4783245,219.4952978,190.2530075,156.3062174,196.4387062,215.1098437,ZNF250
ENSG00000170631,134.2860833,131.981828,136.2567856,152.2713493,130.4377795,138.461911,106.7090522,107.0031977,130.0290846,ZNF16
ENSG00000196922,561.8812431,528.7679607,621.6211934,424.2528788,413.8026107,418.5566165,235.9622704,234.7682099,285.7429267,ZNF252P
ENSG00000255559,10.60153289,10.08778303,13.70630387,22.02667317,15.29270518,11.62657268,27.05299916,23.95593978,38.52713618,ZNF252P-AS1
ENSG00000182307,2421.390112,2537.918082,2039.820518,2942.955072,2839.945309,3560.902124,5655.579768,5318.218632,5180.294519,C8orf33
ENSG00000181404,98.94764029,75.65837275,99.1691398,226.9705018,188.0103166,270.5820551,217.9269377,284.2771521,272.9005479,WASHC1
ENSG00000170122,24.73691007,26.06010617,15.31881021,32.56116903,44.07897375,33.82275689,46.59127633,17.56768917,20.86886543,FOXD4
ENSG00000172785,282.0007748,279.0953306,299.9261789,285.3890697,325.6446632,305.4617732,417.8185425,311.4272172,382.0607671,CBWD1
ENSG00000183784,5.654150874,6.725188689,8.062531691,33.51885047,44.07897375,38.0506015,46.59127633,19.16475183,46.55362288,DOCK8-AS1
ENSG00000107099,37.45874954,43.71372648,21.76883557,0.957681442,2.698712678,6.341766917,3.005888795,4.791187957,11.23708139,DOCK8
ENSG00000107104,198.6020494,205.9589036,195.1132669,78.52987825,62.0703916,53.9050188,54.10599832,39.92656631,36.92183884,KANK1
ENSG00000173253,9.894764029,6.725188689,8.062531691,16.28058452,12.5939925,7.39872807,15.02944398,1.597062652,9.631784045,DMRT2
ENSG00000080503,1016.33362,1000.371817,1104.566842,294.9658842,323.8455214,236.7592982,208.9092713,218.7975834,229.5575197,SMARCA2
ENSG00000236404,27.56398551,27.74140334,18.54382289,9.576814421,0.899570893,8.455689223,21.04122157,12.77650122,12.84237873,VLDLR-AS1
ENSG00000147852,236.7675678,228.6564154,239.4571912,106.3026401,116.0446452,96.18346491,46.59127633,33.5383157,44.94832554,VLDLR
ENSG00000080608,588.0316909,635.5303311,549.8646613,398.3954799,390.4137675,288.5503947,308.1036015,327.3978437,288.9535213,PUM3
ENSG00000080298,115.2033241,92.47134447,113.6816968,6.703770095,7.196567142,10.56961153,16.53238837,23.95593978,38.52713618,RFX3
ENSG00000232104,11.30830175,14.29102596,19.35007606,14.36522163,0.899570893,15.85441729,21.04122157,33.5383157,36.92183884,RFX3-AS1
ENSG00000107249,1080.649586,990.2840345,977.178841,60.33393085,75.563955,66.58855263,148.7914954,108.6002604,118.7920032,GLIS3
ENSG00000106688,144.1808473,121.894045,156.4131148,13.40754019,6.29699625,9.512650376,10.52061078,17.56768917,6.421189363,SLC1A1
ENSG00000106686,38.1655184,21.01621465,25.80010141,33.51885047,28.78626857,38.0506015,31.56183235,28.74712774,36.92183884,SPATA6L
ENSG00000205808,94.00025828,100.8778303,109.650431,226.0128203,199.7047382,197.6517356,124.744385,138.9444507,125.2131926,PLPP6
ENSG00000273061,1.413537718,4.203242931,4.031265846,3.830725768,7.196567142,6.341766917,10.52061078,12.77650122,6.421189363,CDC37L1-DT
ENSG00000106993,139.9402341,125.2566393,158.0256211,416.5914273,402.1081891,451.3224123,471.9245409,431.2069161,441.4567687,CDC37L1
ENSG00000147853,906.0776775,856.6209093,719.98408,1762.133853,1569.751208,1834.884561,1294.035126,1109.958543,1314.738522,AK3
ENSG00000120158,262.9180156,290.0237622,301.5386852,289.2197955,266.2729843,166.9998622,115.7267186,148.5268267,104.3443272,RCL1
ENSG00000096968,142.0605407,114.3282077,120.1317222,43.09566489,36.88240661,24.31010652,31.56183235,46.31481692,20.86886543,JAK2
ENSG00000107020,120.8574749,125.2566393,110.4566842,15.32290307,22.48927232,16.91137845,31.56183235,55.89719283,36.92183884,PLGRKT
ENSG00000120217,43.11290041,47.91696941,31.4438736,156.1020751,125.939925,107.8100376,118.7326074,124.5708869,83.47546172,CD274
ENSG00000107036,337.8355147,308.5180311,324.113774,244.2087677,198.8051673,142.6897556,118.7326074,121.3767616,105.9496245,RIC1
ENSG00000099219,797.2352732,807.8632913,923.1598786,185.7901998,204.2025927,197.6517356,263.0152696,188.453393,314.6382788,ERMP1
ENSG00000183354,243.1284876,230.3377126,266.0635458,178.1287482,193.407742,142.6897556,94.68549705,107.0031977,93.10724576,KIAA2026
ENSG00000137040,400.0311743,348.8691632,375.7139768,656.0117878,626.1013414,641.5754198,634.2425358,443.9834173,568.2752586,RANBP6
ENSG00000147854,477.06898,428.7307789,464.4018254,263.3623966,299.5571073,213.5061529,195.3827717,146.929764,211.899249,UHRF2
ENSG00000178445,392.9634857,406.8739157,356.3639007,119.7101803,140.3330593,125.7783772,115.7267186,116.5855736,110.7655165,GLDC
ENSG00000236924,7.774457451,11.76908021,13.70630387,12.44985875,11.69442161,12.68353383,31.56183235,33.5383157,38.52713618,AL162411.1
ENSG00000225489,4.240613155,8.406485861,2.418759507,1.915362884,2.698712678,5.284805764,4.508833193,1.597062652,8.026486704,AL354707.1
ENSG00000107077,181.6395968,184.1020404,178.9882035,30.64580615,28.78626857,13.74049499,85.66783067,107.0031977,120.3973006,KDM4C
ENSG00000137038,284.8278503,291.7050594,344.2701032,214.520643,187.1107457,219.8479198,255.5005476,255.5300244,309.8223868,DMAC1
ENSG00000235448,4.947382014,1.681297172,1.612506338,1.915362884,2.698712678,3.170883459,6.011777591,9.582375913,8.026486704,LURAP1L-AS1
ENSG00000153714,152.6620736,150.4760969,127.3880007,185.7901998,210.4995889,176.5125125,141.2767734,108.6002604,104.3443272,LURAP1L
ENSG00000107186,356.211505,342.9846231,401.5140782,90.02205556,96.25408553,66.58855263,60.11777591,63.88250609,112.3708139,MPDZ
ENSG00000147862,496.1517392,457.3128309,486.9769141,118.7524988,101.6515109,89.84169799,105.2061078,95.82375913,118.7920032,NFIB
ENSG00000175893,171.7448328,196.7117692,169.3131655,113.9640916,98.05322732,100.4113095,105.2061078,92.62963383,120.3973006,ZDHHC21
ENSG00000214110,6.360919733,5.043891517,8.062531691,1.915362884,3.598283571,1.056961153,3.005888795,3.194125304,1.605297341,LDHAP4
ENSG00000155158,26.15044779,31.94464627,31.4438736,10.53449586,2.698712678,5.284805764,7.514721988,1.597062652,9.631784045,TTC39B
ENSG00000164975,377.4145708,374.0886208,405.5453441,438.6181005,460.5802971,473.5185965,324.6359899,287.4712774,356.3760097,SNAPC3
ENSG00000164985,1486.334911,1378.663681,1327.89897,418.5067902,447.0867337,365.7085589,398.2802654,293.859528,391.6925511,PSIP1
ENSG00000164989,19.78952806,33.62594344,26.60635458,3.830725768,4.497854464,4.227844611,6.011777591,3.194125304,20.86886543,CCDC171
ENSG00000044459,167.5042196,184.1020404,154.8006085,17.23826596,34.18369393,45.44932957,42.08244313,59.09131813,40.13243352,CNTLN
ENSG00000155876,730.0922316,675.0408147,740.1404092,1111.868154,1110.070482,1262.011617,1540.518008,1288.82956,1314.738522,RRAGA
ENSG00000147874,630.4378224,619.558008,590.983573,306.4580615,294.1596819,267.4111717,231.4534372,295.4565907,279.3217373,HAUS6
ENSG00000147872,380.2416463,305.9960853,343.46385,1168.371359,1003.921116,1117.207939,1160.273075,1140.302734,1061.101542,PLIN2
ENSG00000137145,608.5279878,477.4883969,570.0209906,249.9548564,232.9888612,247.3289098,249.48877,247.5447111,269.6899532,DENND4C
ENSG00000272842,2.827075437,3.362594344,5.643772184,4.78840721,13.49356339,20.0822619,39.07655434,28.74712774,41.73773086,AL391834.1
ENSG00000273226,14.84214604,8.406485861,11.28754437,22.02667317,21.58970143,36.99364035,63.1236647,52.70306752,69.02778565,AL391834.2
ENSG00000137154,13275.23948,12434.87389,14107.81795,13956.29166,12445.5633,20365.52749,29601.99286,27151.66215,34605.39478,RPS6
ENSG00000177076,33.92490524,27.74140334,33.05637993,505.6558014,473.1742896,528.4805764,315.6183235,321.0095931,330.6912522,ACER2
ENSG00000260912,33.21813638,19.33491748,20.9625824,360.0882222,338.2386557,347.7402193,177.3474389,190.0504556,218.3204383,AL158206.1
ENSG00000171843,632.558129,543.0589866,617.5899275,115.8794545,91.75623107,64.47463032,36.07066554,17.56768917,44.94832554,MLLT3
ENSG00000188352,500.3923523,469.9225596,531.3208384,200.1554214,161.0231898,254.7276378,302.0918239,257.127087,223.1363304,FOCAD
ENSG00000198642,494.0314326,501.8672059,550.6709145,764.2297908,684.5734494,762.0689912,742.4545324,549.3895524,699.9096406,KLHL9
ENSG00000198680,180.2260591,184.1020404,158.8318743,527.6824746,451.5845882,465.0629073,673.3190901,515.8512367,577.9070427,TUSC1
ENSG00000120159,289.0684634,270.6888447,293.4761536,189.6209255,193.407742,140.5758333,93.18255265,116.5855736,141.266166,CAAP1
ENSG00000137055,436.783155,437.9779134,401.5140782,715.3880372,666.5820316,605.6387406,423.8303201,375.3097233,415.7720113,PLAA
ENSG00000096872,142.0605407,117.6908021,100.7816461,54.5878422,53.07468268,29.59491228,37.57360994,46.31481692,43.3430282,IFT74
ENSG00000184434,2.120306578,2.521945758,3.225012676,6.703770095,8.096138035,14.79745614,3.005888795,7.985313261,16.05297341,LRRC19
ENSG00000147894,45.93997585,28.58205193,36.28139261,74.69915248,116.0446452,81.38600877,94.68549705,54.30013018,65.81719097,C9orf72
ENSG00000122729,812.7841881,815.4291285,823.9907388,416.5914273,400.3090473,305.4617732,257.003492,263.5153376,221.531033,ACO1
ENSG00000107201,249.4894073,205.9589036,240.2634444,149.398305,152.0274809,86.67081453,46.59127633,76.65900731,67.42248831,DDX58
ENSG00000197579,240.3014121,230.3377126,243.4884571,643.5619291,600.9133564,572.8729448,544.0658719,348.1596582,430.2196873,TOPORS
ENSG00000235453,6.360919733,12.60972879,6.450025353,16.28058452,28.78626857,17.9683396,28.55594356,22.35887713,24.07946011,SMIM27
ENSG00000165264,314.5121423,353.9130548,357.1701539,247.0818121,210.4995889,248.3858709,302.0918239,308.2330919,298.5853054,NDUFB6
ENSG00000241043,12.01507061,4.203242931,4.031265846,25.85739894,28.78626857,44.39236842,57.11188711,30.34419039,33.71124416,
ENSG00000237437,2.120306578,1.681297172,2.418759507,3.830725768,7.196567142,3.170883459,6.011777591,11.17943857,6.421189363,ASS1P12
ENSG00000137074,288.3616946,309.3586797,284.6073687,520.9787045,472.2747187,517.9109649,449.3803749,574.9425548,505.6686623,APTX
ENSG00000086061,2889.977865,3149.069604,3134.712321,4361.281287,4781.219295,4007.996692,5103.999174,5814.905117,5504.564582,DNAJA1
ENSG00000122692,593.6858417,569.1190928,614.3649149,727.837896,750.2421246,715.5627005,703.3779781,764.9930104,601.9865028,SMU1
ENSG00000086062,1190.905528,1147.48532,1118.273146,643.5619291,711.5605762,555.9615664,429.8420977,384.8920992,321.0594682,B4GALT1
ENSG00000233554,2.120306578,1.681297172,3.225012676,6.703770095,9.895279821,3.170883459,10.52061078,9.582375913,8.026486704,B4GALT1-AS1
ENSG00000107262,476.3622111,511.9549889,383.7765085,2062.845826,1863.011319,2340.111992,3329.021841,2874.712774,2826.928617,BAG1
ENSG00000086065,639.6258176,618.7173594,640.9712694,1363.738374,1306.176936,1609.751836,1824.574499,1581.092026,1725.694641,CHMP5
ENSG00000086102,455.1591453,498.5046116,446.6642557,572.6935024,609.0094944,458.7211403,359.203711,453.5657932,362.797199,NFX1
ENSG00000165269,9.894764029,8.406485861,9.675038029,21.06899173,14.39313428,7.39872807,15.02944398,6.388250609,12.84237873,AQP7
ENSG00000165272,50.180589,47.91696941,58.85648134,244.2087677,263.5742716,305.4617732,320.1271567,172.4827664,261.6634665,AQP3
ENSG00000165271,566.8286251,642.2555198,556.3146867,846.5903948,1026.410389,822.3157769,1169.290741,931.0875263,988.8631619,NOL6
ENSG00000226823,8.481226311,3.362594344,8.062531691,13.40754019,8.995708928,9.512650376,19.53827717,7.985313261,3.210594682,SUGT1P1
ENSG00000230453,66.43627277,64.72994113,61.27524085,76.61451537,88.1579475,80.32904762,39.07655434,59.09131813,51.3695149,ANKRD18B
ENSG00000234373,2.120306578,10.08778303,3.225012676,5.746088653,12.5939925,16.91137845,7.514721988,12.77650122,8.026486704,SNX18P7
