"","symbol"
"748","PRKD1"
"749","RBM38"
"750","SEMA6A"
"751","OSBPL7"
"752","LOC101928120"
"753","VPS35L"
"754","DPY19L1"
"755","ND1"
"756","TLNRD1"
"757","ADRM1"
"758","EVL"
"759","CPD"
"760","CREB3L2"
"761","LPAR1"
"762","RNASE7"
"763","TMEM245"
"764","ETS2"
"765","STS"
"766","VKORC1L1"
"767","H2BC8"
"768","TTF2"
"769","MAFG"
"770","RIN3"
"771","COP1"
"772","ARMH3"
"773","SDCCAG8"
"774","RNF157-AS1"
"775","SIKE1"
"776","SH3RF1"
"777","TIMP1"
"778","YWHAE"
"779","KIF16B"
"780","HAP1"
"781","SEC14L2"
"782","YKT6"
"783","SH3PXD2B"
"784","SRRT"
"785","FLNB"
"786","DHTKD1"
"787","SOWAHC"
"788","PACS2"
"789","FBXW7"
"790","TMEM104"
"791","CDC42SE2"
"792","ZNF561"
"793","DOCK10"
"794","PDZD8"
"795","PPP1R9A"
"796","ASH1L"
"797","TPD52"
"798","BCL10"
"799","ITFG1"
"800","TTK"
"801","RAP2B"
"802","POLA1"
"803","WDR76"
"804","JUNB"
"805","NDRG1"
"806","MTBP"
"807","COX1"
"808","GNPDA1"
"809","HLA-E"
"810","VPS41"
"811","INHBB"
"812","FAM20C"
"813","GDI1"
"814","CSF1"
"815","METRNL"
"816","PRICKLE1"
"817","NCAPG2"
"818","CDC42BPG"
"819","ZNF707"
"820","CAPRIN2"
"821","TP53I13"
"822","XPR1"
"823","IQSEC1"
"824","C1orf226"
"825","ISG20"
"826","IFIT2"
"827","TEP1"
"828","FGFBP3"
"829","UNC5A"
"830","NRCAM"
"831","FAM229A"
"832","SQLE"
"833","ARHGAP29"
"834","MAFF"
"835","MACF1"
"836","KIF4A"
"837","PPP3CA"
"838","ARHGEF28"
"839","CDYL2"
"840","LDB1"
"841","PPP1R12B"
"842","TSSC4"
"843","VWA8"
"844","TUBB2A"
"845","PHF19"
"846","ERAP2"
"847","CLN8"
"848","HYPK"
"849","LIMS1"
"850","LHFPL6"
"851","NCOA1"
"852","ABLIM3"
"853","ABHD2"
"854","METTL15"
"855","SLCO3A1"
"856","TANC2"
"857","SRPK2"
"858","SLC39A11"
"859","ZNF440"
"860","CDC42BPB"
"861","GTSE1"
"862","DCLK2"
"863","CLIP2"
"864","SMS"
"865","H2BC19P"
"866","USP13"
"867","ANKEF1"
"868","SCMH1"
"869","PTPN14"
"870","CBX4"
"871","BCKDHB"
"872","MIR12136"
"873","KATNIP"
